siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise,libelle_naf
305207169,ORANO DEMANTELEMENT,38.22Z,GE,Traitement et élimination des déchets dangereux
305493173,FCA FRANCE,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
305589152,CONTOUR,79.12Z,,Activités des voyagistes
305635583,SOCIETE COOPERATIVE D'APPROVISIONNEMENT RHONE ALPES,46.17A,ETI,Centrales d'achat alimentaires
305800997,DYNEFF S.A.S.,46.71Z,ETI,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
306015306,SOCAMAINE,46.17A,ETI,Centrales d'achat alimentaires
306020140,SYSTEME U SUD,82.99Z,PME,Autres activités de soutien aux entreprises n.c.a.
306094194,CARFUEL,46.12A,GE,Centrales d'achat de carburant
306138900,DECATHLON,68.20B,GE,Location de terrains et d'autres biens immobiliers
306523358,RCI BANQUE,64.19Z,GE,Autres intermédiations monétaires
306917535,SECHE ENVIRONNEMENT,70.10Z,ETI,Activités des sièges sociaux
315999201,LES GRANDS CHAIS DE FRANCE,11.02B,ETI,Vinification
316580869,PIERRE ET VACANCES,70.10Z,ETI,Activités des sièges sociaux
316807015,SYSCO FRANCE SAS,46.39A,ETI,Commerce de gros (commerce interentreprises) de produits surgelés
317007342,AUCHAN ENERGIES,46.12A,GE,Centrales d'achat de carburant
330589755,CLARINS,82.99Z,ETI,Autres activités de soutien aux entreprises n.c.a.
330703844,CAPGEMINI,70.10Z,GE,Activités des sièges sociaux
330956871,ORANO,64.20Z,GE,Activités des sociétés holding
331089474,TUI FRANCE,79.12Z,ETI,Activités des voyagistes
331142554,GROUPE LACTALIS,46.33Z,GE,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
331309120,ABEILLE ASSURANCES HOLDING,64.20Z,GE,Activités des sociétés holding
340709534,IDEMIA FRANCE,26.12Z,GE,Fabrication de cartes électroniques assemblées
341192227,ITM ALIMENTAIRE INTERNATIONAL,46.17A,GE,Centrales d'achat alimentaires
341459386,STMICROELECTRONICS FRANCE,26.11Z,GE,Fabrication de composants électroniques
382900942,CAISSE D'EPARGNE ET DE PREVOYANCE ILE-DE-FRANCE,64.19Z,GE,Autres intermédiations monétaires
382983922,BNP PARIBAS CARDIF,64.30Z,GE,Fonds de placement et entités financières similaires
382984920,TOYOTA MOTOR EUROPE,70.21Z,GE,Conseil en relations publiques et communication
383196656,MAISONS DU MONDE FRANCE,47.59A,ETI,Commerce de détail de meubles
383470937,THALES SIX GTS FRANCE SAS,26.30Z,GE,Fabrication d'équipements de communication
383474814,AIRBUS,30.30Z,GE,Construction aéronautique et spatiale
383475092,THALES DMS FRANCE SAS,26.51A,GE,Fabrication d'équipements d'aide à la navigation
383491446,SEQUANA,64.30Z,PME,Fonds de placement et entités financières similaires
