siren,date_cloture_exercice,annee_exercice,Chiffre_d_affaires,Resultat_net,marge_nette_clean,croissance_CA_clean,segment_CA,type_bilan,periode_analyse_valide,outlier_financier
86280393,2016-10-31,2016,1130766000,15754000,0.013932148649676413,,Entreprise milliardaire,C,1,0
86280393,2018-10-31,2018,1297775000,36724000,0.028297663308354683,0.1476954560006226,Entreprise milliardaire,C,1,0
86280393,2019-10-31,2019,1495694000,25547000,0.017080365368852185,0.15250640519350428,Entreprise milliardaire,C,1,0
86280393,2020-10-31,2020,1401361000,10534000,0.007516978137681868,-0.06306971880611943,Entreprise milliardaire,C,1,0
86280393,2021-10-31,2021,1577073889,46178142,0.029280899469637977,0.12538731204878686,Entreprise milliardaire,C,1,0
86280393,2022-10-31,2022,1893619606,34164189,0.018041738103972714,0.20071711237367396,Entreprise milliardaire,C,1,0
86280393,2023-10-31,2023,1247122083,55507822,0.04450873154813666,-0.34140833827002526,Entreprise milliardaire,C,1,0
312730674,2016-12-31,2016,1051779553,88946290,0.08456742645956343,,Entreprise milliardaire,C,1,0
312730674,2017-12-31,2017,1131530083,96551509,0.08532827403405412,0.0758243776203168,Entreprise milliardaire,C,1,0
312730674,2018-12-31,2018,1280466183,99541081,0.07773815686938762,0.13162363267013555,Entreprise milliardaire,C,1,0
312730674,2019-12-31,2019,1359404813,121980881,0.0897310939563372,0.061648352020554686,Entreprise milliardaire,C,1,0
312730674,2020-12-31,2020,1367664718,385780208,0.28207220887012746,0.006076118696219446,Entreprise milliardaire,C,1,0
312730674,2022-12-31,2022,1525309801,134965226,0.08848381221409328,0.11526588419311698,Entreprise milliardaire,C,1,0
312730674,2023-12-31,2023,1613091963,98155292,0.06084916065011726,0.05755038218626119,Entreprise milliardaire,C,1,0
312730674,2024-12-31,2024,1769858954,132483715,0.07485552150954058,0.09718416221505903,Entreprise milliardaire,C,1,0
320353576,2016-12-31,2016,2107720199,-85530543,-0.04057964764041245,,Grande entreprise,C,1,0
320353576,2017-12-31,2017,2065603716,-71890296,-0.03480352762882036,-0.019982008532243516,Grande entreprise,C,1,0
320353576,2018-12-31,2018,1670003800,-21184879,-0.01268552742215317,-0.19151781773808543,Entreprise milliardaire,C,1,0
320353576,2019-12-31,2019,1613069284,-5628507,-0.003489315093796058,-0.034092446975270356,Entreprise milliardaire,C,1,0
320353576,2021-12-31,2021,1959269831,2547121,0.0013000358397291117,0.21462224247523395,Entreprise milliardaire,C,1,0
320353576,2022-12-31,2022,2227569977,35398469,0.015891069356067194,0.13693884413208218,Grande entreprise,C,1,0
320353576,2023-12-31,2023,2449888011,35897015,0.014652512620504432,0.09980294055651119,Grande entreprise,C,1,0
320353576,2024-12-31,2024,1477950656,41778043,0.028267549278722333,-0.39672725881183146,Entreprise milliardaire,C,1,0
320651649,2016-12-31,2016,1392794000,45552000,0.03270548264854673,,Entreprise milliardaire,K,1,0
320651649,2017-12-31,2017,1707114000,54749000,0.032071086055178506,0.2256758716651565,Entreprise milliardaire,K,1,0
320651649,2018-12-31,2018,2017409000,50412000,0.02498848770873928,0.18176583403334517,Grande entreprise,K,1,0
320651649,2019-12-31,2019,2203186000,50133000,0.02275477422242153,0.09208692932370184,Grande entreprise,K,1,0
320651649,2020-12-31,2020,1907370000,-35988000,-0.0188678651756083,-0.13426737461113133,Entreprise milliardaire,K,1,0
320651649,2021-12-31,2021,2097803000,33731000,0.016079202861279156,0.09984061823348381,Grande entreprise,K,1,0
320651649,2022-12-31,2022,2725322000,29513000,0.010829179084159597,0.2991315199758986,Grande entreprise,K,1,0
320651649,2023-12-31,2023,3160297000,81973000,0.025938384904963047,0.1596049934649924,Grande entreprise,K,1,0
320651649,2024-12-31,2024,3284368000,75562000,0.023006557121491866,0.03925928480772535,Grande entreprise,K,1,0
329764625,2024-06-30,2024,4957000000,0,0.0,,Grande entreprise,K,1,0
331309120,2020-12-31,2020,6288500000,197500000,0.03140653573984257,,Très grande entreprise,K,1,0
335480265,2016-12-31,2016,2276000000,194000000,0.0852372583479789,,Grande entreprise,K,1,0
338228414,2019-12-31,2019,1473313000,0,0.0,,Entreprise milliardaire,S,1,0
352474274,2016-03-31,2016,1196640000,0,0.0,,Entreprise milliardaire,K,1,0
352745749,2018-12-31,2018,1120202518,-572186,-0.000510787996639729,,Entreprise milliardaire,C,1,0
352745749,2019-12-31,2019,1412950887,-161208,-0.00011409313761943942,0.26133521778068347,Entreprise milliardaire,C,1,0
352745749,2020-12-31,2020,1176343577,-2812467,-0.0023908550656370014,-0.1674561459828009,Entreprise milliardaire,C,1,0
352745749,2021-12-31,2021,1257218857,38528099,0.030645498821053715,0.06875141037132555,Entreprise milliardaire,C,1,0
352745749,2022-12-31,2022,1137529893,42854798,0.03767355764777251,-0.0952013751095049,Entreprise milliardaire,C,1,0
